,Show,EpId,ClipId,SEP28k-T,SEP28k-D,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords
0,HeStutters,0,0,test,test,0,0,0,0,0,3
1,HeStutters,0,1,test,test,0,0,0,0,0,3
2,HeStutters,0,2,test,test,0,0,0,0,0,3
3,HeStutters,0,3,test,test,1,0,0,0,0,2
4,HeStutters,0,4,test,test,0,0,0,0,0,3
5,HeStutters,0,5,test,test,1,0,0,0,0,2
6,HeStutters,0,6,test,test,0,0,0,0,0,3
7,HeStutters,0,7,test,test,0,0,0,0,0,3
8,HeStutters,0,8,test,test,0,0,0,0,0,3
9,HeStutters,0,9,test,test,0,0,0,0,0,3
10,HeStutters,0,10,test,test,0,0,0,0,1,3
11,HeStutters,0,11,train,dev,0,0,0,0,0,3
12,HeStutters,0,12,test,test,0,0,0,0,0,3
13,HeStutters,0,13,test,test,0,0,0,1,1,2
14,HeStutters,0,14,test,test,0,1,0,0,0,2
15,HeStutters,0,15,test,test,0,0,0,0,0,3
16,HeStutters,0,16,test,test,0,0,0,0,0,3
17,HeStutters,0,17,test,test,0,0,0,0,0,3
18,HeStutters,0,18,test,test,0,1,0,0,0,2
19,HeStutters,0,19,test,test,1,0,0,0,0,2
20,HeStutters,0,20,test,test,0,0,0,0,0,3
21,HeStutters,0,21,test,test,0,0,0,0,0,3
22,HeStutters,0,22,test,test,0,0,0,0,0,3
23,HeStutters,0,23,test,test,0,0,0,0,0,3
24,HeStutters,0,24,test,test,0,0,0,0,0,3
25,HeStutters,0,25,test,test,1,0,0,0,0,2
26,HeStutters,0,26,train,dev,0,0,0,0,0,3
27,HeStutters,0,27,train,dev,0,1,3,1,1,0
28,HeStutters,0,28,test,test,1,0,0,0,0,2
29,HeStutters,0,29,train,dev,0,0,0,0,0,3
30,HeStutters,0,30,train,dev,0,0,0,0,0,3
31,HeStutters,0,31,test,test,1,0,0,0,0,2
32,HeStutters,0,32,test,test,0,0,0,0,0,3
33,HeStutters,0,33,test,test,2,1,0,0,0,1
34,HeStutters,0,34,test,test,0,0,0,0,0,3
35,HeStutters,0,35,test,test,0,0,0,0,0,3
36,HeStutters,0,36,test,test,0,0,0,0,0,3
37,HeStutters,0,37,test,test,1,0,0,0,1,2
38,HeStutters,0,38,test,test,1,0,0,0,0,2
39,HeStutters,0,39,train,dev,0,1,0,0,0,2
40,HeStutters,1,0,test,test,0,1,2,0,0,0
41,HeStutters,1,1,test,test,0,0,0,1,1,2
42,HeStutters,1,2,test,test,1,0,0,0,0,2
43,HeStutters,1,3,dev,train,0,1,0,0,3,2
44,HeStutters,1,4,test,test,0,0,0,0,0,3
45,HeStutters,1,5,test,test,0,0,0,3,1,0
46,HeStutters,1,6,test,test,0,0,0,1,0,2
47,HeStutters,1,7,test,test,0,0,0,3,0,0
