Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,vote_count,EpId_clean,ClipId_clean,audio_path
StrongVoices,9,25,7324640,7372640,False,StrongVoices_9_1,0.0817921161651611,train,test,train,dev,0,0,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,9,25,../SEP-28k_CLIP/StrongVoices/9/StrongVoices_9_25.wav
StutterTalk,6,192,41854880,41902880,False,StutterTalk_6_2,0.6273947954177856,train,dev,dev,train,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,6,192,../SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_192.wav
StutterTalk,32,36,21925760,21973760,False,StutterTalk_32_1,0.4130449593067169,train,test,train,dev,0,0,0,0,0,2,0,1,1,0,0,0,WordRep,2.0,32,36,../SEP-28k_CLIP/StutterTalk/32/StutterTalk_32_36.wav
WomenWhoStutter,39,120,16292160,16340160,True,Pamela Mertz,0.3817186057567596,,train,test,test,0,0,0,1,2,0,0,0,0,0,0,0,SoundRep,2.0,39,120,../SEP-28k_CLIP/WomenWhoStutter/39/WomenWhoStutter_39_120.wav
WomenWhoStutter,95,27,42246400,42294400,False,WomenWhoStutter_95_1,0.1379711180925369,train,dev,dev,train,0,0,2,0,0,0,0,0,1,1,0,0,Prolongation,2.0,95,27,../SEP-28k_CLIP/WomenWhoStutter/95/WomenWhoStutter_95_27.wav
HeStutters,22,196,43184320,43232320,False,HeStutters_22_1,0.73741215467453,train,dev,dev,train,0,0,0,1,2,2,0,0,0,0,0,0,SoundRep,2.0,22,196,../SEP-28k_CLIP/HeStutters/22/HeStutters_22_196.wav
HeStutters,16,14,43549600,43597600,False,HeStutters_16_1,0.6990343332290649,train,test,train,dev,0,0,3,0,0,0,0,1,0,0,0,0,Prolongation,3.0,16,14,../SEP-28k_CLIP/HeStutters/16/HeStutters_16_14.wav
WomenWhoStutter,86,142,13774560,13822560,False,WomenWhoStutter_86_0,0.3240955173969269,train,test,train,dev,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,3.0,86,142,../SEP-28k_CLIP/WomenWhoStutter/86/WomenWhoStutter_86_142.wav
StutterTalk,72,195,24067680,24115680,False,StutterTalk_72_1,0.4833289384841919,train,dev,dev,train,0,1,2,1,1,0,1,0,0,0,0,0,Prolongation,2.0,72,195,../SEP-28k_CLIP/StutterTalk/72/StutterTalk_72_195.wav
StrongVoices,23,142,8070400,8118400,False,StrongVoices_23_0,0.5554008483886719,train,test,train,dev,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,3.0,23,142,../SEP-28k_CLIP/StrongVoices/23/StrongVoices_23_142.wav
StutterTalk,63,124,31499520,31547520,True,Chaya Goldstein,0.5497074723243713,train,dev,dev,train,0,0,0,1,0,0,0,3,2,1,0,0,Interjection,3.0,63,124,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_124.wav
HeStutters,20,252,33649440,33697440,True,Pamela Mertz,0.50417560338974,,train,test,test,0,0,0,0,0,3,0,3,0,0,0,0,WordRep,3.0,20,252,../SEP-28k_CLIP/HeStutters/20/HeStutters_20_252.wav
HeStutters,15,8,29845280,29893280,True,Pamela Mertz,0.4329617321491241,,train,test,test,0,0,0,1,0,0,1,3,2,1,0,0,Interjection,3.0,15,8,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_8.wav
WomenWhoStutter,62,104,14833120,14881120,False,WomenWhoStutter_62_0,0.6003327369689941,train,test,train,dev,0,0,0,0,0,3,0,2,0,0,0,0,WordRep,3.0,62,104,../SEP-28k_CLIP/WomenWhoStutter/62/WomenWhoStutter_62_104.wav
WomenWhoStutter,16,29,31929760,31977760,False,WomenWhoStutter_16_1,0.3980592489242553,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,16,29,../SEP-28k_CLIP/WomenWhoStutter/16/WomenWhoStutter_16_29.wav
StrongVoices,6,98,13940640,13988640,False,StrongVoices_6_2,0.7484766244888306,train,test,train,dev,0,0,1,2,0,0,0,0,0,0,0,0,Block,2.0,6,98,../SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_98.wav
StutteringIsCool,82,106,6641920,6689920,True,Daniele Rossi,0.4281082153320312,,train,test,test,0,0,3,0,0,0,0,0,1,2,0,0,Prolongation,3.0,82,106,../SEP-28k_CLIP/StutteringIsCool/82/StutteringIsCool_82_106.wav
WomenWhoStutter,84,22,24690400,24738400,True,Pamela Mertz,0.4497275948524475,,train,test,test,0,1,3,1,0,0,1,0,0,0,0,0,Prolongation,3.0,84,22,../SEP-28k_CLIP/WomenWhoStutter/84/WomenWhoStutter_84_22.wav
WomenWhoStutter,2,19,36394400,36442400,True,Pamela Mertz,0.3533613085746765,,train,test,test,0,0,0,0,0,3,0,2,0,2,0,0,WordRep,3.0,2,19,../SEP-28k_CLIP/WomenWhoStutter/2/WomenWhoStutter_2_19.wav
StrongVoices,26,15,15586080,15634080,False,StrongVoices_26_1,0.4666354358196258,train,dev,dev,train,0,0,2,1,1,0,0,0,0,0,0,0,Prolongation,2.0,26,15,../SEP-28k_CLIP/StrongVoices/26/StrongVoices_26_15.wav
StutterTalk,31,31,40766560,40814560,False,StutterTalk_31_1,0.5328924059867859,train,dev,dev,train,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,31,31,../SEP-28k_CLIP/StutterTalk/31/StutterTalk_31_31.wav
StutterTalk,18,28,42178400,42226400,False,StutterTalk_18_1,0.2111368477344513,train,test,train,dev,0,0,1,2,0,2,0,2,0,1,0,0,Block,2.0,18,28,../SEP-28k_CLIP/StutterTalk/18/StutterTalk_18_28.wav
