Clip,Prolongation,Block,SoundRep,WordRep,Interjection
HeStutters_0_0,0.45775583,0.4498359,0.16467783,0.100802965,0.063834436
HeStutters_0_1,0.5195436,0.31435972,0.08008518,0.0851387,0.23444502
HeStutters_0_2,0.6237577,0.3197481,0.03777235,0.060185313,0.11407084
HeStutters_0_3,0.8760122,0.5367043,0.087528415,0.036248095,0.094836116
HeStutters_0_4,0.4701888,0.47539747,0.13482589,0.10683699,0.08552936
HeStutters_0_5,0.50902414,0.27019766,0.055523213,0.13632052,0.11149437
HeStutters_0_6,0.8070468,0.3247943,0.049283735,0.07527706,0.18060601
HeStutters_0_7,0.57960427,0.48064667,0.12963668,0.22997816,0.26860237
HeStutters_0_8,0.59826,0.5286501,0.18268296,0.20192276,0.0825471
HeStutters_0_9,0.40276605,0.3614701,0.1212586,0.20721732,0.12697741
HeStutters_0_10,0.70554143,0.5253126,0.13322482,0.11999227,0.10973267
HeStutters_0_12,0.60865396,0.42400327,0.09062376,0.14636117,0.079412445
HeStutters_0_13,0.8519563,0.32865468,0.07179591,0.28652337,0.59418905
HeStutters_0_14,0.7777894,0.33438858,0.058298543,0.085001566,0.34739318
HeStutters_0_15,0.6110852,0.32686505,0.036867704,0.08843043,0.14893967
HeStutters_0_16,0.36449677,0.41104507,0.20471646,0.101512685,0.07889793
HeStutters_0_17,0.7681234,0.43266422,0.08445109,0.1032469,0.15763709
HeStutters_0_18,0.6472692,0.2909553,0.025965206,0.064289205,0.13352609
HeStutters_0_19,0.78480846,0.532656,0.15985161,0.083616346,0.0947803
HeStutters_0_20,0.3087311,0.3706514,0.08052518,0.0914776,0.05291633
HeStutters_0_21,0.5592288,0.46039325,0.17292869,0.21136452,0.12633684
HeStutters_0_22,0.49443534,0.19738966,0.051474463,0.18409169,0.3187651
HeStutters_0_23,0.2603071,0.43337035,0.17366013,0.23733273,0.07866079
HeStutters_0_24,0.8862149,0.4164774,0.3822808,0.5646899,0.16195829
