Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,audio_path,EpId_clean,ClipId_clean
HeStutters,0,27,18732320,18780320,False,HeStutters_0_1,0.5806368589401245,train,test,train,dev,0,0,0,1,3,1,0,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/0/HeStutters_0_27.wav,0,27
HeStutters,1,33,31802080,31850080,False,HeStutters_1_1,0.1640883833169937,train,dev,dev,train,0,0,0,1,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_33.wav,1,33
HeStutters,1,37,5095680,5143680,True,Pamela Mertz,0.5566307902336121,,train,test,test,0,0,0,2,3,0,1,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_37.wav,1,37
HeStutters,1,42,32392000,32440000,False,HeStutters_1_1,0.0539090745151042,train,dev,dev,train,0,0,1,1,3,1,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_42.wav,1,42
HeStutters,1,61,34837280,34885280,True,Pamela Mertz,0.6129013895988464,,train,test,test,0,0,0,1,3,0,1,2,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_61.wav,1,61
HeStutters,1,127,9410720,9458720,True,Pamela Mertz,0.2867150902748108,,train,test,test,0,0,0,0,3,1,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_127.wav,1,127
HeStutters,1,155,15124320,15172320,True,Pamela Mertz,0.5690881609916687,,train,test,test,0,0,0,0,3,0,0,0,0,1,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_155.wav,1,155
HeStutters,1,209,20511200,20559200,False,HeStutters_1_1,0.2720660865306854,train,dev,dev,train,0,0,0,2,3,0,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_209.wav,1,209
HeStutters,1,227,22919360,22967360,False,HeStutters_1_1,0.1230654641985893,train,dev,dev,train,0,1,0,0,3,0,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_227.wav,1,227
HeStutters,1,236,23485440,23533440,False,HeStutters_1_1,0.2420042157173156,train,dev,dev,train,0,0,0,0,3,0,2,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_236.wav,1,236
HeStutters,1,254,26066720,26114720,True,Pamela Mertz,0.320866197347641,,train,test,test,0,0,0,2,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_254.wav,1,254
HeStutters,1,260,27120640,27168640,True,Pamela Mertz,0.1102083101868629,,train,test,test,0,0,0,1,3,0,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_260.wav,1,260
HeStutters,2,91,9837440,9885440,True,Pamela Mertz,0.4462976157665252,,train,test,test,1,0,0,1,3,0,3,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_91.wav,2,91
HeStutters,5,1,44576000,44624000,True,Pamela Mertz,0.3294670581817627,,train,test,test,0,0,0,0,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_1.wav,5,1
HeStutters,5,13,45942560,45990560,True,Pamela Mertz,0.4918952584266662,,train,test,test,0,0,0,1,3,0,2,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_13.wav,5,13
HeStutters,5,18,4101760,4149760,True,Pamela Mertz,0.2834983170032501,,train,test,test,0,0,0,0,3,0,1,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_18.wav,5,18
HeStutters,5,31,5736640,5784640,True,Pamela Mertz,0.5471498370170593,,train,test,test,0,0,0,1,3,0,1,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_31.wav,5,31
HeStutters,5,34,6127200,6175200,True,Pamela Mertz,0.380563735961914,,train,test,test,0,0,1,2,3,0,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_34.wav,5,34
HeStutters,5,38,6308000,6356000,False,HeStutters_5_1,0.196207195520401,train,test,train,dev,0,0,0,0,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_38.wav,5,38
HeStutters,5,39,7770720,7818720,False,HeStutters_5_1,0.5891016125679016,train,test,train,dev,0,0,0,2,3,0,0,0,0,1,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_39.wav,5,39
HeStutters,5,54,11893280,11941280,False,HeStutters_5_1,0.1158804520964622,train,test,train,dev,0,0,0,1,3,0,1,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_54.wav,5,54
HeStutters,5,61,12492640,12540640,False,HeStutters_5_1,0.5538511276245117,train,test,train,dev,0,0,0,1,3,0,0,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_61.wav,5,61
HeStutters,5,69,13868800,13916800,True,Pamela Mertz,0.5758526921272278,,train,test,test,0,0,0,0,3,0,0,1,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_69.wav,5,69
HeStutters,5,76,1155360,1203360,True,Pamela Mertz,0.3844680488109588,,train,test,test,0,0,0,1,3,0,0,3,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_76.wav,5,76
HeStutters,5,80,16180160,16228160,True,Pamela Mertz,0.5513730645179749,,train,test,test,0,0,1,1,3,0,0,0,0,0,0,0,SoundRep,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_80.wav,5,80
