Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,audio_path,EpId_clean,ClipId_clean
HeStutters,1,62,34880640,34928640,False,HeStutters_1_1,0.3024945855140686,train,dev,dev,train,0,1,0,3,1,1,3,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_62.wav,1,62
HeStutters,1,75,37930720,37978720,True,Pamela Mertz,0.408989280462265,,train,test,test,0,0,0,3,2,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_75.wav,1,75
HeStutters,1,106,6530560,6578560,True,Pamela Mertz,0.4566778242588043,,train,test,test,0,0,0,3,0,0,3,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_106.wav,1,106
HeStutters,1,133,10518720,10566720,True,Pamela Mertz,0.318095713853836,,train,test,test,0,0,1,3,0,1,0,2,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_133.wav,1,133
HeStutters,1,170,16463200,16511200,True,Pamela Mertz,0.1714218854904174,,train,test,test,0,0,2,3,1,0,1,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_170.wav,1,170
HeStutters,1,263,27324960,27372960,True,Pamela Mertz,0.6081268191337585,,train,test,test,0,0,2,3,0,0,1,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_263.wav,1,263
HeStutters,2,57,511520,559520,False,HeStutters_2_1,0.7201615571975708,train,test,train,dev,0,0,1,3,0,0,0,0,0,1,0,0,Block,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_57.wav,2,57
HeStutters,4,32,32738080,32786080,False,HeStutters_4_1,0.7388268709182739,train,dev,dev,train,0,0,0,3,1,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/4/HeStutters_4_32.wav,4,32
HeStutters,5,123,25763520,25811520,True,Pamela Mertz,0.5211650133132935,,train,test,test,0,0,0,3,1,0,0,3,0,2,0,0,Block,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_123.wav,5,123
HeStutters,5,150,28648000,28696000,True,Pamela Mertz,0.4108940660953522,,train,test,test,0,0,0,3,2,0,1,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_150.wav,5,150
HeStutters,5,181,35538880,35586880,True,Pamela Mertz,0.6426810026168823,,train,test,test,0,1,0,3,1,0,1,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/5/HeStutters_5_181.wav,5,181
HeStutters,6,13,27677440,27725440,False,HeStutters_6_1,0.6902270913124084,train,dev,dev,train,0,0,0,3,2,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/6/HeStutters_6_13.wav,6,13
HeStutters,8,77,15926880,15974880,True,Pamela Mertz,0.5405501127243042,,train,test,test,0,0,2,3,0,0,0,0,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/8/HeStutters_8_77.wav,8,77
HeStutters,8,89,17054080,17102080,False,HeStutters_8_1,0.4193040430545807,train,dev,dev,train,0,0,0,3,1,0,1,1,0,0,0,0,Block,../SEP-28k_CLIP/HeStutters/8/HeStutters_8_89.wav,8,89
