Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,audio_path,EpId_clean,ClipId_clean
HeStutters,1,14,29571040,29619040,True,Pamela Mertz,0.5251225829124451,,train,test,test,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_14.wav,1,14
HeStutters,1,15,30017440,30065440,True,Pamela Mertz,0.5067000389099121,,train,test,test,0,0,3,0,1,0,0,1,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_15.wav,1,15
HeStutters,1,27,31099040,31147040,True,Pamela Mertz,0.4969601333141327,,train,test,test,0,0,3,1,0,0,1,0,0,1,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_27.wav,1,27
HeStutters,1,32,31661920,31709920,False,HeStutters_1_1,0.345853179693222,train,dev,dev,train,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_32.wav,1,32
HeStutters,1,54,34100800,34148800,False,HeStutters_1_1,0.1309902817010879,train,dev,dev,train,0,0,3,0,1,0,1,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_54.wav,1,54
HeStutters,1,72,37112320,37160320,False,HeStutters_1_1,-0.0040161651559174,train,dev,dev,train,0,0,3,2,0,0,2,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_72.wav,1,72
HeStutters,1,112,7141120,7189120,True,Pamela Mertz,0.0644365325570106,,train,test,test,0,1,3,1,0,0,1,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_112.wav,1,112
HeStutters,1,144,13032640,13080640,True,Pamela Mertz,0.5880007147789001,,train,test,test,0,0,3,0,0,0,1,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_144.wav,1,144
HeStutters,1,148,14402080,14450080,False,HeStutters_1_1,0.1913151741027832,train,dev,dev,train,0,0,3,0,0,0,1,0,0,2,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_148.wav,1,148
HeStutters,1,161,15289600,15337600,False,HeStutters_1_1,0.01319220662117,train,dev,dev,train,0,0,3,0,2,0,0,0,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_161.wav,1,161
HeStutters,1,188,17666080,17714080,True,Pamela Mertz,0.5738673210144043,,train,test,test,0,0,3,0,0,0,0,1,0,0,0,0,Prolongation,../SEP-28k_CLIP/HeStutters/1/HeStutters_1_188.wav,1,188
