Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,audio_path,EpId_clean,ClipId_clean
WomenWhoStutter,86,43,5182240,5230240,True,Pamela Mertz,0.071379080414772,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/86/WomenWhoStutter_86_43.wav,86,43
StutteringIsCool,30,3,51658080,51706080,True,Daniele Rossi,0.6173413991928101,,train,test,test,0,0,0,0,1,0,0,3,2,1,0,0,Interjection,../SEP-28k_CLIP/StutteringIsCool/30/StutteringIsCool_30_3.wav,30,3
MyStutteringLife,7,48,4886400,4934400,True,Pedro Peña,0.5728427767753601,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,../SEP-28k_CLIP/MyStutteringLife/7/MyStutteringLife_7_48.wav,7,48
WomenWhoStutter,89,31,14060960,14108960,True,Pamela Mertz,0.3069312274456024,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/89/WomenWhoStutter_89_31.wav,89,31
StutterTalk,8,186,19423520,19471520,True,Reuben Schuff,0.5779772400856018,train,test,train,dev,0,0,0,0,0,3,0,0,1,1,0,0,WordRep,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_186.wav,8,186
HVSA,3,75,21366720,21414720,True,TJ Travor,0.493131548166275,train,test,train,dev,0,0,0,1,0,0,0,3,2,2,0,0,Interjection,../SEP-28k_CLIP/HVSA/3/HVSA_3_75.wav,3,75
StutterTalk,20,33,35476480,35524480,False,StutterTalk_20_1,0.107447825372219,train,dev,dev,train,0,0,0,0,3,0,1,0,0,0,0,1,SoundRep,../SEP-28k_CLIP/StutterTalk/20/StutterTalk_20_33.wav,20,33
WomenWhoStutter,73,8,14344640,14392640,True,Pamela Mertz,0.5195828676223755,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/73/WomenWhoStutter_73_8.wav,73,8
HVSA,2,152,31820800,31868800,False,HVSA_2_0,0.4278571307659149,train,test,train,dev,0,1,0,1,0,1,1,3,1,1,0,0,Interjection,../SEP-28k_CLIP/HVSA/2/HVSA_2_152.wav,2,152
WomenWhoStutter,30,110,1238080,1286080,True,Pamela Mertz,0.4458026587963104,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0,Fluent,../SEP-28k_CLIP/WomenWhoStutter/30/WomenWhoStutter_30_110.wav,30,110
WomenWhoStutter,90,28,4590240,4638240,False,WomenWhoStutter_90_1,0.433163970708847,train,test,train,dev,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,../SEP-28k_CLIP/WomenWhoStutter/90/WomenWhoStutter_90_28.wav,90,28
