,Show,EpId,ClipId,SEP28k-T,SEP28k-D,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,filepath
0,HeStutters,0,0,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_0.wav
1,HeStutters,0,1,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_1.wav
2,HeStutters,0,2,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_2.wav
3,HeStutters,0,3,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_3.wav
4,HeStutters,0,4,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_4.wav
5,HeStutters,0,5,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_5.wav
6,HeStutters,0,6,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_6.wav
7,HeStutters,0,7,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_7.wav
8,HeStutters,0,8,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_8.wav
9,HeStutters,0,9,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_9.wav
10,HeStutters,0,10,test,test,0,0,0,0,1,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_10.wav
11,HeStutters,0,11,train,dev,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_11.wav
12,HeStutters,0,12,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_12.wav
13,HeStutters,0,13,test,test,0,0,0,1,1,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_13.wav
14,HeStutters,0,14,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_14.wav
15,HeStutters,0,15,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_15.wav
16,HeStutters,0,16,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_16.wav
17,HeStutters,0,17,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_17.wav
18,HeStutters,0,18,test,test,0,1,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_18.wav
19,HeStutters,0,19,test,test,1,0,0,0,0,2,SEP-28k_CLIP/HeStutters/0/HeStutters_0_19.wav
20,HeStutters,0,20,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_20.wav
21,HeStutters,0,21,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_21.wav
22,HeStutters,0,22,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_22.wav
23,HeStutters,0,23,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_23.wav
24,HeStutters,0,24,test,test,0,0,0,0,0,3,SEP-28k_CLIP/HeStutters/0/HeStutters_0_24.wav
