Unnamed: 0,Show,EpId,ClipId,SEP28k-T,SEP28k-D,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,filepath,fluent,audio_path
8750,StrongVoices,19,6,train,dev,0.0,0.0,0.0,0.0,0.0,3,SEP-28k_CLIP/StrongVoices/19/StrongVoices_19_6.wav,1,../Training/SEP-28k_CLIP/StrongVoices/19/StrongVoices_19_6.wav
9682,StrongVoices,32,28,train,dev,1.0,0.0,0.0,1.0,0.0,0,SEP-28k_CLIP/StrongVoices/32/StrongVoices_32_28.wav,0,../Training/SEP-28k_CLIP/StrongVoices/32/StrongVoices_32_28.wav
8274,StrongVoices,10,70,train,dev,0.0,0.0,0.0,0.0,0.0,3,SEP-28k_CLIP/StrongVoices/10/StrongVoices_10_70.wav,1,../Training/SEP-28k_CLIP/StrongVoices/10/StrongVoices_10_70.wav
5027,IStutterSoWhat,3,68,dev,train,0.0,0.0,0.0,0.0,1.0,2,SEP-28k_CLIP/IStutterSoWhat/3/IStutterSoWhat_3_68.wav,0,../Training/SEP-28k_CLIP/IStutterSoWhat/3/IStutterSoWhat_3_68.wav
2564,HeStutters,18,184,test,test,0.0,0.0,0.0,0.0,0.0,3,SEP-28k_CLIP/HeStutters/18/HeStutters_18_184.wav,1,../Training/SEP-28k_CLIP/HeStutters/18/HeStutters_18_184.wav
3193,HeStutters,21,152,test,test,0.0,0.0,0.0,0.0,0.0,3,SEP-28k_CLIP/HeStutters/21/HeStutters_21_152.wav,1,../Training/SEP-28k_CLIP/HeStutters/21/HeStutters_21_152.wav
10331,StutterTalk,6,154,test,test,0.0,0.0,0.0,0.0,1.0,3,SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_154.wav,0,../Training/SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_154.wav
27374,WomenWhoStutter,99,149,test,test,0.0,1.0,0.0,0.0,0.0,0,SEP-28k_CLIP/WomenWhoStutter/99/WomenWhoStutter_99_149.wav,0,../Training/SEP-28k_CLIP/WomenWhoStutter/99/WomenWhoStutter_99_149.wav
8039,StrongVoices,6,170,train,dev,1.0,0.0,0.0,0.0,0.0,1,SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_170.wav,0,../Training/SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_170.wav
26488,WomenWhoStutter,88,206,test,test,0.0,0.0,0.0,0.0,0.0,3,SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_206.wav,1,../Training/SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_206.wav
