Clip,Prolongation,Block,SoundRep,WordRep,Interjection
WomenWhoStutter_50_336,0.18198614,0.0017343153,0.20494504,0.011444219,0.110215284
StutterTalk_72_35,0.005302551,0.42004594,0.003382738,0.9857854,0.00046576708
StutterTalk_51_25,0.046262354,0.0040280083,0.0029017997,0.005951123,0.9970836
WomenWhoStutter_55_32,0.003999287,0.0070214067,0.007878324,0.9984534,0.003893328
WomenWhoStutter_92_8,0.9401281,0.9404514,0.01840306,0.0014560845,0.0010707419
StrongVoices_6_170,0.97071856,0.18714765,0.013662366,0.00030462694,0.0022581534
StutteringIsCool_8_20,0.014412671,0.15292637,0.994361,0.002570225,0.005058215
MyStutteringLife_9_22,0.005586393,0.003358263,0.0005788038,0.00052482495,0.00070071843
WomenWhoStutter_51_28,0.0038837092,0.050776806,0.00045526837,0.0011577191,0.000117995245
HVSA_1_93,0.9735858,0.55466074,0.056802876,0.0007362794,0.00020312268
StutterTalk_57_28,0.012004494,0.1014755,0.99717927,0.0037018764,0.0137518365
HeStutters_15_89,0.0029390038,0.002922377,0.028291512,0.9978955,0.004112934
IStutterSoWhat_0_31,0.0018931914,0.007139665,0.96699363,0.5966921,0.0005403944
HeStutters_22_121,0.0041417787,0.57951427,0.5718775,0.9317227,0.000922522
StutteringIsCool_82_102,0.00055213075,0.0031373922,0.0087690605,0.014235187,0.004500866
MyStutteringLife_19_18,0.0007814674,0.0011295334,0.0020033894,0.0025793714,0.0015749076
StutterTalk_5_11,0.013921755,0.00746112,0.004378061,0.0068348185,0.99805
IStutterSoWhat_0_145,0.00079625257,0.5951911,0.9311519,0.0062814853,0.004376604
StrongVoices_10_205,0.07018837,0.82570755,0.001051713,0.00078121724,0.5324586
IStutterSoWhat_2_141,0.0058497414,0.0973523,0.9567989,0.0056717363,0.00011960895
WomenWhoStutter_104_37,0.0035798298,0.011407691,0.005086859,0.9987135,0.007484799
StutterTalk_43_117,0.7939067,0.0074597253,0.0008322996,0.0009347234,0.000579451
WomenWhoStutter_50_274,0.9796785,0.18288016,0.0009121064,0.0013324198,0.002536187
StutterTalk_56_36,0.0014600258,0.00555449,0.016271498,0.99684477,0.007157965
WomenWhoStutter_55_34,0.00082091364,0.0029094506,0.05261545,0.99646914,0.10044213
StutterTalk_63_53,0.011605809,0.025696427,0.0037546002,0.010901891,0.9990823
StutteringIsCool_38_24,0.184659,0.95791584,0.0008138977,0.0016263602,0.0011017366
WomenWhoStutter_64_22,0.00055399473,0.6458518,0.00045697976,0.012308813,0.00901967
WomenWhoStutter_57_187,0.020611651,0.012701809,0.003386019,0.00675141,0.99873143
HeStutters_22_171,0.00564573,0.7052727,0.23937733,0.066617444,0.9989924
StutterTalk_45_32,0.00033230727,0.0054069688,0.8954933,0.7978517,0.046700157
WomenWhoStutter_42_145,0.04377593,0.015013118,0.0057250545,0.028289042,0.999655
HeStutters_19_145,0.0010622062,0.00073209713,0.0011910916,0.005738492,0.004085933
WomenWhoStutter_2_4,0.00044707922,0.2293221,0.00072767964,0.8886534,0.7588999
StrongVoices_21_109,0.0022680848,0.76176065,0.0023254524,0.37455216,0.000800257
WomenWhoStutter_81_163,0.0023177369,0.008649744,0.031163493,0.9982943,0.0016760781
WomenWhoStutter_92_19,0.0047712447,0.35654154,0.7012317,0.017451085,0.9991353
WomenWhoStutter_8_30,0.044206403,0.9202769,0.8057841,0.0012886027,0.00016639443
StutterTalk_20_33,0.002029306,0.004085801,0.9672579,0.00911909,0.0021214304
MyStutteringLife_10_30,0.004448519,0.05969089,0.0007381436,9.1649774e-05,0.007471753
WomenWhoStutter_65_20,0.92788196,0.29644665,0.00040382077,0.0005788689,0.0019339775
StutterTalk_26_147,0.0037651688,0.020276906,0.03408212,0.9981559,0.0020383175
StrongVoices_6_121,0.00072293275,0.89890575,0.01858178,0.004781154,0.020042539
StrongVoices_6_31,0.008900584,0.9920923,0.0055321157,0.0046590534,0.005053228
StrongVoices_10_157,0.2568051,0.060203455,0.00031235008,0.67596585,0.00035938714
WomenWhoStutter_47_28,0.012758828,0.018918173,0.0056883823,0.0066450364,0.99882025
HeStutters_16_143,0.004355288,0.17097811,0.9854484,0.002761848,0.0008643636
WomenWhoStutter_21_141,0.020037804,0.31454638,0.18630885,0.034129385,5.5656343e-05
