filepath,Block,Prolongation,SoundRep,WordRep,Interjection,NoStutteredWords
clips/clips/M_0030_16y4m_1_dysfluent_000.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_001.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_002.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_003.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_004.wav,0,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_005.wav,0,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_006.wav,1,1,0,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_007.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_008.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_009.wav,1,1,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_010.wav,0,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_011.wav,1,0,0,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_012.wav,1,0,0,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_013.wav,1,1,0,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_014.wav,1,1,0,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_015.wav,1,1,0,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_016.wav,1,1,0,1,1,0
clips/clips/M_0030_16y4m_1_dysfluent_017.wav,1,0,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_018.wav,1,0,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_019.wav,0,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_020.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_021.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_022.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_023.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_024.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_025.wav,0,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_026.wav,0,0,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_027.wav,0,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_028.wav,0,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_029.wav,0,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_030.wav,0,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_031.wav,0,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_032.wav,0,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_033.wav,1,0,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_034.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_035.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_036.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_037.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_038.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_039.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_040.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_041.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_042.wav,1,1,1,1,0,0
clips/clips/M_0030_16y4m_1_dysfluent_043.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_044.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_045.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_046.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_047.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_048.wav,1,1,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_049.wav,1,0,0,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_050.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_051.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_052.wav,1,0,1,0,1,0
clips/clips/M_0030_16y4m_1_dysfluent_053.wav,0,1,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_054.wav,0,1,1,0,0,0
clips/clips/M_0030_16y4m_1_dysfluent_055.wav,0,0,1,0,1,0
