Show,EpId,ClipId,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,Interjection,NoStutteredWords,NoSpeech,Clip,audio_path
FluencyBank,010,0,0,0,0,1,0,0,0,2,0,FluencyBank_010_0,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_0.wav
FluencyBank,010,1,0,0,0,0,0,0,0,3,0,FluencyBank_010_1,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_1.wav
FluencyBank,010,2,0,0,1,0,0,0,0,2,0,FluencyBank_010_2,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_2.wav
FluencyBank,010,3,0,0,1,0,0,0,0,2,0,FluencyBank_010_3,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_3.wav
FluencyBank,010,4,0,0,0,0,0,3,0,0,0,FluencyBank_010_4,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_4.wav
FluencyBank,010,5,0,0,0,0,0,0,0,3,0,FluencyBank_010_5,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_5.wav
FluencyBank,010,6,0,0,0,0,0,0,0,3,0,FluencyBank_010_6,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_6.wav
FluencyBank,010,7,0,0,0,0,0,1,0,2,0,FluencyBank_010_7,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_7.wav
FluencyBank,010,8,0,0,0,0,0,0,0,3,0,FluencyBank_010_8,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_8.wav
FluencyBank,010,9,0,0,0,0,0,0,0,3,0,FluencyBank_010_9,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_9.wav
FluencyBank,010,10,0,0,0,0,0,0,0,3,0,FluencyBank_010_10,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_10.wav
FluencyBank,010,11,0,0,1,0,0,0,0,2,0,FluencyBank_010_11,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_11.wav
FluencyBank,010,12,0,0,0,0,0,1,0,2,0,FluencyBank_010_12,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_12.wav
FluencyBank,010,13,0,0,0,0,0,0,0,3,0,FluencyBank_010_13,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_13.wav
FluencyBank,010,14,0,0,0,0,0,0,0,3,0,FluencyBank_010_14,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_14.wav
FluencyBank,010,15,0,0,1,0,0,0,0,2,0,FluencyBank_010_15,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_15.wav
FluencyBank,010,16,0,0,0,0,0,0,0,3,0,FluencyBank_010_16,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_16.wav
FluencyBank,010,17,0,0,0,1,0,0,2,2,0,FluencyBank_010_17,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_17.wav
FluencyBank,010,18,0,0,0,0,0,0,2,3,0,FluencyBank_010_18,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_18.wav
FluencyBank,010,19,0,0,0,1,0,0,2,2,0,FluencyBank_010_19,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_19.wav
FluencyBank,010,20,0,0,0,0,0,0,0,3,0,FluencyBank_010_20,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_20.wav
FluencyBank,010,21,0,0,0,0,0,0,0,3,0,FluencyBank_010_21,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_21.wav
FluencyBank,010,22,0,0,0,0,0,0,0,3,0,FluencyBank_010_22,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_22.wav
FluencyBank,010,23,0,0,0,0,0,0,0,3,0,FluencyBank_010_23,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_23.wav
FluencyBank,010,24,0,0,0,0,0,1,0,2,0,FluencyBank_010_24,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_24.wav
FluencyBank,010,25,0,0,0,0,0,0,0,3,0,FluencyBank_010_25,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_25.wav
FluencyBank,010,26,0,0,0,0,0,0,0,3,0,FluencyBank_010_26,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_26.wav
FluencyBank,010,27,0,0,0,0,0,0,0,3,0,FluencyBank_010_27,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_27.wav
FluencyBank,010,28,0,0,0,1,1,0,0,1,0,FluencyBank_010_28,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_28.wav
FluencyBank,010,29,0,0,0,0,1,0,0,2,0,FluencyBank_010_29,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_29.wav
FluencyBank,010,30,0,0,0,0,0,0,0,3,0,FluencyBank_010_30,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_30.wav
FluencyBank,010,31,0,0,0,0,0,0,0,3,0,FluencyBank_010_31,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_31.wav
FluencyBank,010,32,0,0,0,0,0,0,0,3,0,FluencyBank_010_32,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_32.wav
FluencyBank,010,33,0,0,0,1,0,0,0,2,0,FluencyBank_010_33,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_33.wav
FluencyBank,010,34,0,0,0,0,0,0,0,3,0,FluencyBank_010_34,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_34.wav
FluencyBank,010,35,0,0,0,0,0,0,0,3,0,FluencyBank_010_35,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_35.wav
FluencyBank,010,36,0,0,0,0,0,0,0,3,0,FluencyBank_010_36,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_36.wav
FluencyBank,010,37,0,0,0,0,0,0,0,3,0,FluencyBank_010_37,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_37.wav
FluencyBank,010,38,0,0,1,2,0,0,0,0,0,FluencyBank_010_38,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_38.wav
FluencyBank,010,39,0,0,0,1,0,0,0,2,0,FluencyBank_010_39,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_39.wav
FluencyBank,010,40,0,0,0,0,0,0,3,3,0,FluencyBank_010_40,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_40.wav
FluencyBank,010,41,0,0,0,0,0,0,3,3,0,FluencyBank_010_41,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_41.wav
FluencyBank,010,42,0,0,0,0,0,0,0,3,0,FluencyBank_010_42,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_42.wav
FluencyBank,010,43,0,0,0,0,0,0,0,3,0,FluencyBank_010_43,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_43.wav
FluencyBank,010,44,0,0,0,0,0,0,0,3,0,FluencyBank_010_44,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_44.wav
FluencyBank,010,45,0,0,0,0,0,0,0,3,0,FluencyBank_010_45,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_45.wav
FluencyBank,010,46,0,0,0,0,0,0,0,3,0,FluencyBank_010_46,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_46.wav
FluencyBank,010,47,0,0,0,0,0,0,0,3,0,FluencyBank_010_47,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_47.wav
FluencyBank,010,48,0,0,0,0,0,0,0,3,0,FluencyBank_010_48,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_48.wav
FluencyBank,010,49,0,0,0,0,0,0,3,3,0,FluencyBank_010_49,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_49.wav
FluencyBank,010,50,0,0,0,0,0,0,3,3,0,FluencyBank_010_50,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_50.wav
FluencyBank,010,51,0,0,0,0,0,0,0,3,0,FluencyBank_010_51,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_51.wav
FluencyBank,010,52,0,0,1,0,0,0,0,2,0,FluencyBank_010_52,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_52.wav
FluencyBank,010,53,0,0,0,0,0,0,0,3,0,FluencyBank_010_53,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_53.wav
FluencyBank,010,54,0,0,1,0,0,0,0,2,0,FluencyBank_010_54,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_54.wav
FluencyBank,010,55,0,0,0,0,0,1,0,2,0,FluencyBank_010_55,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_55.wav
FluencyBank,010,56,0,0,0,0,0,0,0,3,0,FluencyBank_010_56,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_56.wav
FluencyBank,010,57,0,0,0,0,0,0,0,3,0,FluencyBank_010_57,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_57.wav
FluencyBank,010,58,0,0,0,0,0,0,0,3,0,FluencyBank_010_58,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_58.wav
FluencyBank,010,59,0,0,0,1,0,0,0,2,0,FluencyBank_010_59,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_59.wav
FluencyBank,010,60,0,0,0,0,0,0,1,3,0,FluencyBank_010_60,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_60.wav
FluencyBank,010,61,0,0,0,0,0,0,0,3,0,FluencyBank_010_61,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_61.wav
FluencyBank,010,62,0,0,0,0,0,0,0,3,0,FluencyBank_010_62,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_62.wav
FluencyBank,010,63,0,0,0,0,0,0,0,3,0,FluencyBank_010_63,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_63.wav
FluencyBank,010,64,0,0,0,0,0,0,0,3,0,FluencyBank_010_64,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_64.wav
FluencyBank,010,65,0,0,0,0,0,0,0,3,0,FluencyBank_010_65,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_65.wav
FluencyBank,010,66,0,0,0,0,0,0,0,3,0,FluencyBank_010_66,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_66.wav
FluencyBank,010,67,0,0,0,0,0,0,0,3,0,FluencyBank_010_67,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_67.wav
FluencyBank,010,68,0,0,0,0,0,0,0,3,0,FluencyBank_010_68,fluencybank_CLIP/fluencybank_CLIP/FluencyBank/010/FluencyBank_010_68.wav
