Clip,Block,Prolongation,SoundRep,WordRep,Interjection
M_0030_16y4m_1_dysfluent_000,0.00058933184,0.7443433,0.8114722,0.03411657,0.0016975049
M_0030_16y4m_1_dysfluent_001,0.00058933184,0.7443433,0.8114722,0.03411657,0.0016975049
M_0030_16y4m_1_dysfluent_002,0.0004236418,0.60480684,0.9303703,0.026161954,0.0015318262
M_0030_16y4m_1_dysfluent_003,0.0006630584,0.26852697,0.98858124,0.007494937,0.0011446418
M_0030_16y4m_1_dysfluent_004,0.020587916,0.008992093,0.0025821321,0.0040936703,0.99949706
M_0030_16y4m_1_dysfluent_005,0.056115054,0.06445663,0.021528717,0.0001768623,0.99684477
M_0030_16y4m_1_dysfluent_006,0.007517416,0.0047377,0.00017698426,7.4779025e-05,0.0016059988
M_0030_16y4m_1_dysfluent_007,0.0813832,0.012339965,0.0006036346,0.0052698078,0.99939656
M_0030_16y4m_1_dysfluent_008,0.100503385,0.031282816,0.0011543323,0.0021071725,0.99956757
M_0030_16y4m_1_dysfluent_009,0.08682134,0.22880675,0.00044344223,0.00044369634,0.9971629
M_0030_16y4m_1_dysfluent_010,0.071707025,0.13354029,0.0010392576,0.00062267046,0.99865
M_0030_16y4m_1_dysfluent_011,0.049044713,0.0018725813,0.0009116886,8.6197375e-05,0.0003154826
M_0030_16y4m_1_dysfluent_012,0.0029698024,0.010019212,0.0014622429,0.9976191,0.00023164111
M_0030_16y4m_1_dysfluent_013,0.002482886,0.015494873,0.0021270553,0.99890053,0.00045073067
M_0030_16y4m_1_dysfluent_014,0.0030415994,0.013813938,0.0016008455,0.99873894,0.00038934543
M_0030_16y4m_1_dysfluent_015,0.00020829598,0.24031366,0.0024704237,0.04242459,0.002570707
M_0030_16y4m_1_dysfluent_016,0.003030642,0.02664004,0.0027564869,0.001489611,0.9936498
M_0030_16y4m_1_dysfluent_017,0.009847806,0.042399153,0.0038723417,0.005412827,0.9996357
M_0030_16y4m_1_dysfluent_018,0.008209654,0.021089597,0.0055628615,0.0045419596,0.9995747
M_0030_16y4m_1_dysfluent_019,0.00036268047,0.0025553969,0.03023742,0.0003864659,0.00025005726
M_0030_16y4m_1_dysfluent_020,0.02238256,0.121081784,0.6959994,0.012780943,0.9992304
M_0030_16y4m_1_dysfluent_021,0.01914929,0.3839807,0.5070021,0.004094845,0.9980744
M_0030_16y4m_1_dysfluent_022,0.006337919,0.72924656,0.31899637,0.056479704,0.9919961
M_0030_16y4m_1_dysfluent_023,0.0009821713,0.9770897,0.010962415,0.0009482296,0.0046983673
M_0030_16y4m_1_dysfluent_024,0.00023222803,0.016261335,0.0014898514,0.00010325403,0.0022859103
M_0030_16y4m_1_dysfluent_025,0.15382044,0.013260272,0.7675467,0.00015645157,0.0007855304
M_0030_16y4m_1_dysfluent_026,0.013951629,0.006785001,0.0025693157,0.0013642163,0.99853134
M_0030_16y4m_1_dysfluent_027,0.0003478409,0.01712745,0.0052183256,0.98790026,0.00020527194
M_0030_16y4m_1_dysfluent_028,0.008230308,0.0076296027,0.0039712926,0.0013611186,0.9987877
M_0030_16y4m_1_dysfluent_029,0.008673759,0.005488819,0.0038477236,0.0028672472,0.9989747
M_0030_16y4m_1_dysfluent_030,0.004590078,0.0048859436,0.0050850958,0.0068304082,0.9984712
M_0030_16y4m_1_dysfluent_031,0.09646098,0.0017149788,0.003230933,0.008235595,0.9989711
M_0030_16y4m_1_dysfluent_032,0.86841226,0.0009553782,0.0016341334,0.0023845206,0.8709545
M_0030_16y4m_1_dysfluent_033,0.0378421,0.00043311508,0.002334956,0.00036852589,0.64957654
M_0030_16y4m_1_dysfluent_034,0.001466131,0.052392185,0.00039115612,6.4962034e-05,0.28330395
M_0030_16y4m_1_dysfluent_035,0.010174766,0.9526677,0.5572386,0.00018841046,0.055877123
M_0030_16y4m_1_dysfluent_036,0.0078341365,0.9548731,0.46266833,0.00012420403,0.029309599
M_0030_16y4m_1_dysfluent_037,0.005375757,0.89682376,0.83566356,0.32425997,0.0021408224
M_0030_16y4m_1_dysfluent_038,0.005375757,0.89682376,0.83566356,0.32425997,0.0021408224
M_0030_16y4m_1_dysfluent_039,0.0070002875,0.12494334,0.3780771,0.9945111,0.0032782007
M_0030_16y4m_1_dysfluent_040,0.027424226,0.19157965,0.85536027,0.52922285,0.00070907176
M_0030_16y4m_1_dysfluent_041,0.027424226,0.19157965,0.85536027,0.52922285,0.00070907176
M_0030_16y4m_1_dysfluent_042,0.006305279,0.08271512,6.968286e-05,6.246913e-05,0.020878669
M_0030_16y4m_1_dysfluent_043,0.014257184,0.014127481,0.0037650112,0.0021128836,0.9995484
M_0030_16y4m_1_dysfluent_044,0.018871399,0.008619898,0.0032412335,0.0023330695,0.9994814
M_0030_16y4m_1_dysfluent_045,0.024724867,0.015073166,0.0026847033,0.010111752,0.9997565
M_0030_16y4m_1_dysfluent_046,0.02574351,0.014942712,0.0019805839,0.002413518,0.99955004
M_0030_16y4m_1_dysfluent_047,0.022582212,0.031958546,0.00087906665,0.0023443499,0.9993838
M_0030_16y4m_1_dysfluent_048,0.024208067,0.029974304,0.0014082091,0.0041001765,0.99962735
M_0030_16y4m_1_dysfluent_049,0.023927756,0.013148783,0.018243873,0.0058315755,0.99975365
M_0030_16y4m_1_dysfluent_050,0.028465414,0.09388614,0.07580909,0.0047297785,0.9997453
M_0030_16y4m_1_dysfluent_051,0.03688023,0.08599974,0.045090362,0.00590547,0.9998864
M_0030_16y4m_1_dysfluent_052,0.0225372,0.17045182,0.0152304815,0.004431629,0.9998258
M_0030_16y4m_1_dysfluent_053,0.0010202142,0.003989903,0.00013420971,0.00045100783,0.0022990752
M_0030_16y4m_1_dysfluent_054,0.00040190725,0.021047583,6.047346e-05,0.001898752,0.00410228
M_0030_16y4m_1_dysfluent_055,0.010863138,0.12895502,0.12678565,0.0038100213,0.99960095
